origin,translation
Bastion da vino vuoto,empty wine bastion
Casa e bottega da Carter,house and shop of the carter
bottega una posto del lotto,shop a place of the lot
Bottega Callegher,callegher workshop
Volta numero 2,turn number 2
Inviamento di scaleter,sending of staircase
Inviamento del detto Scalater,sending of the said scalater
magazen da fassi,warehouse of barrels
casa in soler e bottega da biavariol,house on ground and shop for glassmaker
Magazeno per uso proprio,warehouse for personal use
casa e bottega da casseler,house and shop for rent
casa divisa in tre parti,house divided into three parts
bottega da volta,arched shop
Casa abitata dal medesimo,house inhabited by the same
Bottega chiusa serve per Magazen,closed shop used for warehouse
casa con bottega da masteller,house with a cooper's shop
"Casa, e Bottegha da battiargento","house, and silver-beating shop"
Caseta a pepian,hut on stilts
bottega favro,favro workshop
Bottega da Marzer,shop from marzer
Bottega da Orsin e Scancello da Nodaro,orsin's workshop and nodaro's gatehouse
casetta in due appartamenti,small house in two apartments
magazen contiguo alla casa,warehouse adjacent to the house
Bottega acqua vita,water of life workshop
casa a pepian con bottega da calegher,house with a cobbler's shop in pepian
Bottega Salumier e Buttiro,salami shop and butter seller
Casa e bottega di Fabro,house and workshop of fabro
Casa vuota in due soleri,empty house in two solariums
Bottega da figure,figure workshop
bottega con camera interna da acque,shop with internal room for waters
"casa, sopra altra","house, above another"
Appartamento di Casa due,two-house apartment
Bottega da Pirier,pirier's workshop
Inviamento da scaletter,shipment from ladder
casa in soler con orto,house with garden in soler
"Casa, porzione di terzo appartamento","house, portion of third apartment"
Casa a pepian et in soler in tre Affittanze,house in pepian and in soler in three leases
"casa in due soleri, primo con magazen","house in two solariums, first with warehouse"
Libetrà del traghetto,freedom of the ferry
casa soler di sopra,upper soler house
Numero 12 Volta,number 12 return
altri due quinti di magazen,another two fifths of the warehouse
casa con bottega da marangon,house with carpenter's shop
casa in due soler con magazen,house with two floors and storage
Magazeni da salumi,warehouses for cured meats
Due casette vacue ruvinose,two vacant dilapidated cottages
"Casa, e Bottegha da Colori","house, and color shop"
terren da legname,timber land
"In detta casa, camera in soler vacua","in said house, vacant room in attic"
"casa in quattro appartamenti, quarto","house in four apartments, fourth"
altra Bottega,other shop
mota di S. Antonio,mound of st. antonio
casa in soler di sopra,house in upper soler
"casa, primo soler e camera","house, first floor and room"
Casa vacua a pepian era posto da oglio botteghier,empty house in pepian was a place for oil shopkeepers
"casa in cinque appartamenti, quinto appartamento","house in five apartments, fifth apartment"
inviamento di bottega di fruttariol,sending of greengrocer's shop
Cas apropria et di habitatione,house of ownership and habitation
casa per il confessor,house for the confessor
Altro Magazen vuoto,another empty warehouse
Casa propria et d'habitatione,own house and habitation
Altra casa in soler,another house in soil
casa in soler e bottega da zavater,house in soler and shoemaker's shop
altri due appartamenti,two more apartments
Casa e terren da margariter,house and land of margariter
"Casa in tre soleri, secondo soler","house in three solariums, second solarium"
Casa e Bottegha Tagliapietra,house and tagliapietra workshop
inviamento di malvasia,shipment of malvasia
Bottega sola e Volta,single workshop and vault
Ceraria con terren,wax factory with land
Ospital dei pellegrini,hospital of the pilgrims
appartmaneto,apartment
Porzion delle Sudette Casa e Bottega,portion of the aforementioned house and shop
Loghetto soffitta,small attic loft
Casin,house
"Casa, secondo soler","house, according to custom"
"Casa, e Bottega Inaffittate",unleased house and workshop
Casa con bottega et inviamento da marangon,house with shop and carpenter's equipment
Casa e Bottega da Fenestrer,house and shop from fenestrer
casetta a pepiano,pepiano cottage
2 case diroccate,2 dilapidated houses
bastioni,bastions
Quarta parte di detta casa e bottega,quarter part of said house and shop
Appartamento di Casa di sotto,basement apartment of the house
Casa soler,soler house
casa e soler di sotto,house and ground below
magazzeni n. 3,warehouses no. 3
porzione casa,portion of house
altra parte del palazzo,other part of the palace
"casa, bottega, magazen","house, shop, warehouse"
bottega da cappeler,hat shop
bottega da beloghier con casa in due soleri e magazen,beloghier's shop with a house on two solaris and warehouse
Casa in cinque fitanze,house in five leases
Casa e botega da Fabro,house and shop of the blacksmith
bottega da muschier,hatmaker's shop
Appartamento di Casa,house apartment
bottega da luganegher,sausage shop
Altra mettà,other half
Altra Porzione di Bottega,other portion of shop
Casa nel Teatro data per l'amore d'Iddio,house in the theatre given for the love of god
"Casa in soler in due appartamento, primo","house on the ground in two apartments, first"
Casa in soler ora vuota,house in soler now empty
"casa in due affittanze, prima","house in two leases, first"
Posto Beccher,becher place
Casetta a peppian,small house in peppian
Bottega da tabacco con luoco interno,tobacco shop with interior space
Casa della Pieve,house of the parish
"Ospicio di sei stanzie, numero 3","hospice of six rooms, number 3"
casotto tavole da fruttariol,hut boards from fruit vendor
"altri due luochi uno sopra l'altro, vuoti","two other places one above the other, empty"
Statio,station
Casa prima,first house
Casa e Botega Sartor,sartor's house and shop
casa e trucco,house and makeup
casetta in due soler,small house on two floors
camera locante al San Carlo,renting room at san carlo
"Casa, et Bottega con altre tre Botteghe contigue","house, and shop with three other adjoining shops"
"Bastion da vin con corte, et altre case divise","bastion with vineyard and court, and other divided houses"
Inviamento di forno,sending of oven
Casa prima per loro uso,first house for their use
porzione di ospedal,hospital portion
altra portione Osteria,other portion inn
Casa n.4,house no.4
Casa e Bottega di Fenestrer,house and workshop of fenestrer
Botega da Peruchier,peruchier's shop
Libertà numero 9,freedom number 9
Libertà 11,freedom 11
Bottega da Pignatter da Pignatte,pignatter's pottery shop
Casera,farmhouse
casa e bottega da calegher e inviamento proprio,house and cobbler's shop and own shipment
bottega da calegher con casa in soler,cobbler's shop with house in the attic
Bottegha da Zavater,shoemaker's shop
Un terren ove stava un tagliapietra,a land where there was a stonemason
ceraria con casa,waxworks with house
Casa e Bottega da frutarol,house and fruit shop
luoghi vicini alla scola per vario uso,places near the school for various uses
"Casa in soler, casa propria de uso","house on the ground, own house for use"
prigione e casa,prison and house
Scuola de Divotione di San Cosmo e Damiano sotto la casa di ragione di Cà Bernardo,school of devotion of san cosmo and damiano under the house of reason of cà bernardo
posta di Bassan,bassan post
"Casa, et Bottega da Cerese","house, and cherry shop"
Caseta con Bottega di Pirier,shed with pear tree shop
"casa, bottega e inviamento","house, shop and sending"
L'Anzolo Osteria primo e secondo solaro,the anzolo osteria first and second solaro
altra casa vicina,another nearby house
Casa dominicale con cortivo et orto per proprio uso,dominical house with courtyard and garden for personal use
bottega e inviamento da erbariol,shop and shipment from herbalist
Botega serve per Magazen,store used for warehouse
bene ruvinoso,ruinous property
Bottega di zavatter,cobbler's shop
"Casa in soler in due appartamenit, primo","house in solar in two apartments, first"
Altro magazen,another warehouse
casa e bottega da spetier,house and spice shop
Bottega da tavole,board shop
"casa, settimo soler","house, seventh floor"
burchio e statio di stiorer,wharf and mooring station of stiorer
altro appartamento,another apartment
"Casa in soler, porzione","house in soler, portion"
casa e pistoria,house and bakery
numero 3 Magazen Chiuso,number 3 closed warehouse
inviamento da stuer,sending from warehouse
bottega da pignater e casa,pottery shop and house
"casa, appartamento di sotto","house, downstairs apartment"
"Casa, terzo appartamento","house, third apartment"
Casa e bottega da soazer in 2 affittanze,house and workshop for lease in 2 rents
magazeno vuoto,empty warehouse
bottega da spicier,spice shop
Casa e bottega serve per magazen,house and workshop used for storage
casa n. 7,house no. 7
"casa e, bottega","house and, shop"
Bottega da Mercer e Casa,shop of mercer and house
casa e bottega della pistoria,house and shop of the bakery
casa e bottega da fruttarol,house and fruit shop
stabile rovinoso e cadente inafittato,ruinous and crumbling building not rented
casa e bottega serve per caneva,house and shop used for canvas
"bottega, vuota","shop, empty"
"bottega ora magazen, vuoto","shop now warehouse, empty"
Casa di sua raggione e per suo uso,house of his reason and for his use
Casa con bottega da remessi,house with a remission shop
Scolettta del Crocifisso in Santa Teresa,little school of the crucifix in santa teresa
Due casette tenute per uso di caneva,two small houses kept for cellar use
terreno vacuo,vacant land
Libertà 14 vuota,freedom 14 empty
inviamento di lasagner,sending of lease agreements
Casa in soler per abitation,house on land for habitation
Botega d'orefice sua propria tenuta per uso,goldsmith's workshop his own estate for use
bottega da formagier,cheese shop
bottega a pepian di due luochi,shop with a lease of two places
Casa Bottega,house workshop
Casetta di sotto,small house below
Casa con orto,house with vegetable garden
Casa e bottega de coridoro,house and corridor shop
Bottegha da Galliner,henhouse shop
"Dieci case pagavano una volta dodeci ducati l'una, ora sono date dalla istessa scola a fratelli poveri della medema gratis","ten houses once paid twelve ducats each, now they are given by the same school to poor brothers of the same for free"
Casa Bottega da Malvasia e Inviamento,malvasia house shop and shipment
